barcode,订单,在途库存,仓库
6902062900172,RD201811210180,1200,0001
6902062900189,RD201811210182,288,0001
6902062900196,RD201811210175,576,0001
6902062900196,RD201811210184,480,0001
9315850001376,RD201811210084,672,0001
6971260280164,RD201811220061,3900,0001
BN182191340,RD201811220079,510,0001
yj9332045001829,RD201811220044,9720,0001
YJBOX000048,RD201811220103,17,0001
6944893401008,RD201811220131,1,0001
6949926794935,RD201811220109,3520,0001
6971246190043,RD201811220172,200,0001
6922216400921,RD201811230004,4000,0001
YJBOX000014,RD201811230009,8000,0001
6932003000760,RD201811230065,2964,0001
6932003000760,RD201811230067,660,0001
6932003000760,RD201811230083,1644,0001
6932003000760,RD201811230094,2226,0001
6932003000760,RD201811230097,2472,0001
6932003000760,RD201811230101,2328,0001
6971095490042,RD201811230084,780,0001
5060539050506,RD201811230087,396,0001
3614271332769,RD201811230090,17,0001
6927006119960,RD201811230201,2000,0001
6927006130941,RD201811230195,5000,0001
6948043417727,RD201811230150,360,0001
6948043417727,RD201811230153,2088,0001
6948043417727,RD201811230155,1368,0001
6948043417727,RD201811230156,1224,0001
6948043417727,RD201811230157,1512,0001
6948043417727,RD201811230158,1440,0001
6948043417734,RD201811230152,1008,0001
SQK170803911244,RD201810220266,10,0001
6971246192450,RD201810170182,8652,0001
6970887890510,RD201810300067,50108,0001
ZKM102302,RD201811020030,100,CK2018092630454
3365440332126,RD201811050102,60,0001
00887231461271,RD201811140126,14,0001
00091206761512,RD201811140126,96,0001
6971246190692,RD201811200105,500,0001
6971246193419,RD201811200103,2000,0001
6956466401056,RD201811200018,1600,0001
6956466401056,RD201811200022,6080,0001
YJBOX000012,RD201811200064,740,0001
Y82101,RD201811210180,1200,0001
yj9332045000181,RD201811220044,2205,0001
8886472101405,RD201811210084,60,0001
088300107438,RD201811210141,1000,0001
6970431511441,RD201811210182,288,0001
6902062900189,RD201811210175,576,0001
6902062900189,RD201811210184,480,0001
BN182081240,RD201811220079,660,0001
BN182191340,RD201811220125,120,0001
6949926789207,RD201811220109,3000,0001
YJBOX000015,RD201811230009,5000,0001
6971246191316,RD201811220172,500,0001
5060539051503,RD201811230087,396,0001
3365440237612,RD201811230090,81,0001
6927006119120,RD201811230201,1000,0001
6927006130965,RD201811230195,5000,0001
SQK170803916231,RD201810220266,20,0001
SQK170803852631,RD201810220266,20,0001
SQK170803911243,RD201810220266,10,0001
SQK170803852642,RD201810220266,10,0001
SQK170803852644,RD201810220266,10,0001
3365440269774,RD201811050102,60,0001
3614271280268,RD201811050102,50,0001
SQK170803872531,RD201810220266,20,0001
3365440198043,RD201811050102,50,0001
00887231461424,RD201811140126,57,0001
00887230304876,RD201811140126,36,0001
00888413780234,RD201811140126,72,0001
00887231460939,RD201811140126,21,0001
00887230304821,RD201811140126,64,0001
00091206759557,RD201811140126,129,0001
00888412214310,RD201811140126,136,0001
00887231461400,RD201811140126,93,0001
00887231461431,RD201811140126,21,0001
00887231460250,RD201811140126,36,0001
00887231460564,RD201811140126,57,0001
00887231461226,RD201811140126,64,0001
00666032896037,RD201811140126,210,0001
00666032918289,RD201811140126,106,0001
00887231461387,RD201811140126,14,0001
00887231461417,RD201811140126,50,0001
00826216431458,RD201811140126,28,0001
00888413780227,RD201811140126,100,0001
00887231460571,RD201811140126,79,0001
00888412058075,RD201811140126,54,0001
00823233077959,RD201811140126,150,0001
00886691054504,RD201811140126,181,0001
00886551374407,RD201811140126,159,0001
ETK887167322387,RD201811210141,155,0001
3614271280244,RD201811210141,21,0001
3348901346139,RD201811210141,532,0001
ETK887167031586,RD201811210141,160,0001
6970431511441,RD201811210175,576,0001
6970431511441,RD201811210184,480,0001
6902062900172,RD201811210182,288,0001
6902062900196,RD201811210180,1200,0001
027131987840,RD201811210141,183,0001
Y82101,RD201811210175,576,0001
9315850000492,RD201811210170,360,0001
BN182010940,RD201811220079,480,0001
6902062900172,RD201811210184,480,0001
6902062900189,RD201811210180,1200,0001
6902062900196,RD201811210182,288,0001
BN182110642,RD201811220079,480,0001
BN182191343,RD201811220125,1,0001
BN182081243,RD201811220079,3,0001
BN182081241,RD201811220079,721,0001
BN182081244,RD201811220079,480,0001
6971246190036,RD201811220172,1500,0001
6971246190609,RD201811220172,1000,0001
6971246190906,RD201811220172,300,0001
3614270274077,RD201811230090,66,0001
5060539051053,RD201811230087,200,0001
5060539050001,RD201811230087,300,0001
SQK170803852643,RD201810220266,10,0001
SQK170803872543,RD201810220266,10,0001
SQK170803872544,RD201810220266,10,0001
SQK170803911231,RD201810220266,20,0001
SQK170803916242,RD201810220266,10,0001
SQK170803916243,RD201810220266,10,0001
3365440332058,RD201811050102,60,0001
3365440562141,RD201811050102,50,0001
3365440595477,RD201811050102,100,0001
3365440616592,RD201811050102,60,0001
3365440616752,RD201811050102,60,0001
3614271332769,RD201811050102,60,0001
00666003558919,RD201811140126,7,0001
00666003558926,RD201811140126,21,0001
00666003558933,RD201811140126,43,0001
00666003558940,RD201811140126,43,0001
00666003558957,RD201811140126,28,0001
00666003558964,RD201811140126,21,0001
00666003558971,RD201811140126,21,0001
00666003558995,RD201811140126,21,0001
00826216431427,RD201811140126,57,0001
00826216431434,RD201811140126,86,0001
00826216431441,RD201811140126,72,0001
00826216431465,RD201811140126,18,0001
00826216445035,RD201811140126,100,0001
00826216445042,RD201811140126,72,0001
00826216445059,RD201811140126,100,0001
00826216445653,RD201811140126,72,0001
00826216445677,RD201811140126,36,0001
00887230304685,RD201811140126,86,0001
00887230304692,RD201811140126,151,0001
00887230304708,RD201811140126,79,0001
00887230304715,RD201811140126,50,0001
00887230304722,RD201811140126,32,0001
00887230304838,RD201811140126,86,0001
00887230304845,RD201811140126,144,0001
00887230304852,RD201811140126,108,0001
00887230304869,RD201811140126,64,0001
00887231460229,RD201811140126,57,0001
00887231460236,RD201811140126,100,0001
00887231460243,RD201811140126,72,0001
00887231460267,RD201811140126,10,0001
00887231460526,RD201811140126,86,0001
00887231460533,RD201811140126,32,0001
00887231460540,RD201811140126,144,0001
00887231460557,RD201811140126,158,0001
00887231460588,RD201811140126,21,0001
00887231460595,RD201811140126,25,0001
00887231461394,RD201811140126,93,0001
00887231461448,RD201811140126,10,0001
00888413779900,RD201811140126,100,0001
00888413779917,RD201811140126,144,0001
00888413779924,RD201811140126,144,0001
00888413779931,RD201811140126,108,0001
00888413779948,RD201811140126,86,0001
00888413780050,RD201811140126,57,0001
00888413780067,RD201811140126,136,0001
00888413780074,RD201811140126,72,0001
00888413780081,RD201811140126,28,0001
00888413780098,RD201811140126,21,0001
00888413780203,RD201811140126,86,0001
00888413780210,RD201811140126,72,0001
00888413780241,RD201811140126,36,0001
00091206759540,RD201811140126,55,0001
00666003558339,RD201811140126,21,0001
00666032895757,RD201811140126,213,0001
00666032895764,RD201811140126,258,0001
00666032896044,RD201811140126,879,0001
00666032897324,RD201811140126,919,0001
00666032897645,RD201811140126,426,0001
00666032897652,RD201811140126,258,0001
00666032897669,RD201811140126,279,0001
00666032897676,RD201811140126,175,0001
00823233077966,RD201811140126,150,0001
00823233077973,RD201811140126,150,0001
00823233077980,RD201811140126,150,0001
00823233077997,RD201811140126,150,0001
00823233078000,RD201811140126,150,0001
00826216431410,RD201811140126,18,0001
00826216444755,RD201811140126,36,0001
00887230304678,RD201811140126,50,0001
00887231460212,RD201811140126,43,0001
00887231460519,RD201811140126,39,0001
00887231460861,RD201811140126,79,0001
00887231460878,RD201811140126,28,0001
00887231460885,RD201811140126,158,0001
00887231460892,RD201811140126,158,0001
00887231460908,RD201811140126,64,0001
00887231460915,RD201811140126,50,0001
00887231460922,RD201811140126,36,0001
00887231461028,RD201811140126,64,0001
00887231461035,RD201811140126,100,0001
00887231461042,RD201811140126,32,0001
00887231461059,RD201811140126,208,0001
00887231461066,RD201811140126,208,0001
00887231461073,RD201811140126,115,0001
00887231461080,RD201811140126,122,0001
00887231461097,RD201811140126,46,0001
00887231461103,RD201811140126,28,0001
00887231461196,RD201811140126,19,0001
00887231461202,RD201811140126,28,0001
00887231461219,RD201811140126,18,0001
00887231461233,RD201811140126,64,0001
00887231461240,RD201811140126,36,0001
00887231461257,RD201811140126,43,0001
00887231461363,RD201811140126,18,0001
00888412058044,RD201811140126,28,0001
00888412058051,RD201811140126,50,0001
00888412058068,RD201811140126,32,0001
00888412058082,RD201811140126,36,0001
00888412058099,RD201811140126,36,0001
00888412058105,RD201811140126,57,0001
00888412058112,RD201811140126,36,0001
00888412058129,RD201811140126,5,0001
00888413779894,RD201811140126,50,0001
00888413780043,RD201811140126,43,0001
00888413780197,RD201811140126,36,0001
00091206759564,RD201811140126,84,0001
00091206759908,RD201811140126,220,0001
00091206759915,RD201811140126,249,0001
00091206759922,RD201811140126,196,0001
00091206759939,RD201811140126,204,0001
00091206761529,RD201811140126,76,0001
00091209423967,RD201811140126,103,0001
00666032911907,RD201811140126,142,0001
00666032911914,RD201811140126,361,0001
00666032911983,RD201811140126,261,0001
00666032913451,RD201811140126,232,0001
00666032913628,RD201811140126,177,0001
00886551373356,RD201811140126,48,0001
00886551373363,RD201811140126,115,0001
00886551373370,RD201811140126,139,0001
00886551373387,RD201811140126,81,0001
00886551373394,RD201811140126,211,0001
00886551374414,RD201811140126,69,0001
00886551374438,RD201811140126,6,0001
00886691054474,RD201811140126,48,0001
00886691054481,RD201811140126,120,0001
00886691054498,RD201811140126,34,0001
00886691054511,RD201811140126,214,0001
00886691054528,RD201811140126,118,0001
00886691054566,RD201811140126,144,0001
00886691054573,RD201811140126,78,0001
00886691054580,RD201811140126,31,0001
00888412214259,RD201811140126,60,0001
00888412214266,RD201811140126,165,0001
00888412214273,RD201811140126,150,0001
00888412214280,RD201811140126,643,0001
00888412214297,RD201811140126,696,0001
00888412214303,RD201811140126,90,0001
00888412214327,RD201811140126,67,0001
00888412214334,RD201811140126,28,0001
020714598907,RD201811210141,1772,0001
3147758030235,RD201811210141,990,0001
3348900417885,RD201811210141,309,0001
3348900871984,RD201811210141,354,0001
3348901132879,RD201811210141,474,0001
3348901346115,RD201811210141,111,0001
3365440072008,RD201811210141,30,0001
3365440117594,RD201811210141,75,0001
3365440358447,RD201811210141,69,0001
3605521555885,RD201811210141,10,0001
3605533431894,RD201811210141,299,0001
3614270274091,RD201811210141,3,0001
3614270274145,RD201811210141,19,0001
3614271280299,RD201811210141,118,0001
3614271354945,RD201811210141,8,0001
3614271640994,RD201811210141,25,0001
6902062900172,RD201811210175,576,0001
8011003993802,RD201811210141,15,0001
887167167629,RD201811210141,209,0001
Y82101,RD201811210182,288,0001
Y82101,RD201811210184,480,0001
6970431511441,RD201811210180,1200,0001
BN182010941,RD201811220079,450,0001
BN182010942,RD201811220079,1,0001
BN182081240,RD201811220125,1,0001
BN182091141,RD201811220079,420,0001
BN182110640,RD201811220079,360,0001
BN182110640,RD201811220125,240,0001
BN182110641,RD201811220079,480,0001
BN182110641,RD201811220125,240,0001
BN182120840,RD201811220079,421,0001
BN182120840,RD201811220125,1,0001
BN182120841,RD201811220079,270,0001
BN182130740,RD201811220079,661,0001
BN182130741,RD201811220079,720,0001
BN182130742,RD201811220079,480,0001
BN182130743,RD201811220079,450,0001
BN182130744,RD201811220079,480,0001
BN182191341,RD201811220079,720,0001
BN182191341,RD201811220125,1,0001
BN182191342,RD201811220079,480,0001
BN182191342,RD201811220125,2,0001
BN182191343,RD201811220079,273,0001
BN182191344,RD201811220079,360,0001
BN182191344,RD201811220125,1,0001
BN182110643,RD201811220125,300,0001
BN182110644,RD201811220125,300,0001
6971246190067,RD201811220172,500,0001
6971246191118,RD201811220172,500,0001
6971246191255,RD201811220172,500,0001
6971246194010,RD201811220172,1000,0001
6971246199015,RD201811220172,1000,0001
5060539050032,RD201811230087,2000,0001
6956466403975,RD201811240016,2964,0001
6956466402848,RD201811240016,13832,0001
6940477429062,RD201811240063,1530,0001
6940477429079,RD201811240063,1530,0001
6940477429079,RD201811240064,2358,0001
6940477429062,RD201811240064,2358,0001
6959820315044,RD201811260149,6144,0001
6959820315044,RD201811260150,10560,0001
6959820315044,RD201811260153,768,0001
6959820315044,RD201811260154,2112,0001
6959820315044,RD201811260155,2496,0001
6959820315044,RD201811260156,3840,0001
6959820315044,RD201811260158,4032,0001
1950671,RD201811260245,1520,0001
1950671,RD201811290156,18351,0001
1950671,RD201811290157,14000,0001
1950671,RD201811290177,8000,0001
1950671,RD201811290180,28000,0001
1950671,RD201811290181,6029,0001
1950671,RD201811290182,6384,0001
Z039,RD201811300042,6336,0001
Z084,RD201811300042,10560,0001
L135,RD201811300042,3200,0001
L265,RD201811300042,5360,0001
6936000901655,RD201811300084,113700,0001
6936000903642,RD201811300084,48384,0001
6936000903659,RD201811300084,39840,0001
6936000903666,RD201811300084,34944,0001
6936000903963,RD201811300084,27072,0001
6936000903970,RD201811300084,49560,0001
6936000903987,RD201811300084,27072,0001
6970414020076,RD201811300127,21530,0001
6970183920379,RD201811300141,6,0001
6936863100028,RD201812010082,33,0001
6971373220125,RD201812020007,4400,0001
6922560241799,RD201812030123,6,0001
6920177921691,RD201812030133,1,0001
J5498458295658,RD201812040096,200,0001
J5498458295659,RD201812040096,220,0001
J5498458295658,RD201812040097,1,0001
J5498458295659,RD201812040097,1,0001
6944662522095,RD201812040109,16,0001
6971373220125,RD201812040120,3800,0001
6949602312866,RD201812040125,78,0001
6949602312873,RD201812040125,138,0001
6949602315188,RD201812040125,124,0001
6949602317380,RD201812040125,822,0001
6970235950194,RD201812050015,10,0001
6971384085874,RD201812050070,1500,0001
6971384085898,RD201812050070,334,0001
6938582342215,RD201812050080,70,0001
6926999601971,RD201812050097,253,0001
J5498458295651,RD201812060011,8,0001
J5498458295651,RD201812060014,9,0001
6934395000595,RD201812060024,3380,0001
6934395000878,RD201812060024,2000,0001
6971059950162,RD201812060048,8,0001
6971059950162,RD201812060049,9,0001
6971059950162,RD201812060053,4,0001
6970414020076,RD201812050076,10,0001
6920721718913,RD201812060103,2,0001
6971135300553,RD201812060166,12100,0001
6970267320071,RD201812070013,28,0001
6946001204655,RD201812070049,152,0001
6971907251342,RD201812070075,4,0001
6971907251366,RD201812070075,4,0001
