barcode,订单,在途库存,仓库
6957929913369,FO201812260003,2,0001
6955561612152,FO201812240005,144,0001
6955561612169,FO201812240005,144,0001
7613035260160,RD201812260125,1,0001
B4554555,RD201812270002,1,0001
6930620174994,FO201812270002,60,0001
6971923206043,RD201812270008,1476,0001
6942542330686,RD201812270019,16,0001
6970235949747,RD201812270021,8,0001
6942542330686,RD201812270023,2,0001
6942542330686,RD201812270024,1,0001
6949602312866,RD201812270025,18,0001
6949602312873,RD201812270025,12,0001
6949602312897,RD201812270025,24,0001
6949602315195,RD201812270025,285,0001
6949602315201,RD201812270025,255,0001
6949602315195,RD201812270028,135,0001
6949602312897,RD201812270028,114,0001
6949602315188,RD201812270029,2,0001
6949602315195,RD201812270029,12,0001
6971511850788,FO201812250008,4,0001
6940477401679,RD201812270030,36,0001
6949185421092,RD201812270031,1,0001
6940477402225,RD201812270036,5,0001
6926702223216,RD201812270045,2,0001
6926702223308,RD201812270045,1,0001
6926702223292,RD201812270047,552,0001
6926702223308,RD201812270047,2,0001
6928471320868,RD201812270073,36,0001
6928471320868,RD201812270076,36,0001
6940477401587,RD201812270091,72,0001
6953969816776,RD201812270094,414,0001
6953969816790,RD201812270094,552,0001
SC10737152400847,RD201812270095,2280,0001
6953969816790,RD201812270097,264,0001
SC10737152400847,RD201812270098,7680,0001
6953969816790,RD201812270100,540,0001
SC10737152400847,RD201812270101,4360,0001
SC10737152400847,RD201812270102,3280,0001
6946922572765,RD201812270102,20,0001
SC10737152400847,RD201812270103,5880,0001
SC10737152400847,RD201812270105,1440,0001
YJBOX000048,RD201812270109,20,0001
6923589447872,RD201812270110,1,0001
6923589448756,RD201812270110,2,0001
9300639999005,RD201812270111,1,0001
YJBOX000028,RD201812270112,10,0001
YJBOX000051,RD201812270113,50,0001
YJBOX000014,RD201812270116,5260,0001
6902395656296,RD201812270117,585,0001
YJBOX000007,RD201812270120,30,0001
9300639602967,RD201812270124,3,0001
9300639602967,RD201812270126,4,0001
6971260280157,RD201812270139,2340,0001
6971260280164,RD201812270139,2340,0001
6946001204655,RD201812270139,22,0001
6940477401587,RD201812270146,7,0001
6920174754124,RD201812270153,13,0001
182JJF01919M02,RD201812270155,10,0001
182JJF01919W02,RD201812270155,10,0001
6945008400046,RD201812270163,1,0001
6945008400046,RD201812270169,41,0001
6934395000595,RD201812270175,1,0001
6930149730008,RD201812280003,4,0001
6970203840496,RD201812280013,5,0001
6927564012468,RD201812280024,1,0001
00675911109168,RD201812250012,1,0001
00675911111864,RD201812250012,1,0001
00675911111925,RD201812250012,6,0001
00675911112656,RD201812250012,8,0001
6920174754124,RD201812280036,103,0001
6940090505938,FO201812270011,2,0001
4897031010285,RD201812280041,36,0001
6971385890088,RD201812280042,6,0001
6971385890088,RD201812280044,113,0001
6971385890095,RD201812280044,7,0001
4897031010322,RD201812280046,3,0001
8850904117012,RD201812280049,109,0001
16943524512790,RD201812280056,54,0001
16943524512806,RD201812280056,24,0001
16943524512790,RD201812280059,2,0001
16943524512790,RD201812280060,4,0001
16943524512790,RD201812280061,17,0001
16943524512806,RD201812280061,2,0001
16943524512790,RD201812280062,1,0001
16943524512790,RD201812280063,2,0001
16943524512790,RD201812280064,2,0001
16943524512806,RD201812280064,1,0001
8818012403,RD201812280077,39,0001
8818012801,RD201812280077,16,0001
6971349130007,FO201812270010,1100,0001
6971349130007,FO201812270008,8,0001
6910019010379,RD201812280108,49,0001
6910019014575,RD201812280108,1800,0001
6910019016111,RD201812280108,1,0001
6923644281564,RD201812280109,968,0001
6923644285074,RD201812280113,1,0001
6949602317373,RD201812280119,48,0001
6950609403761,RD201812280129,1,0001
6923644284947,RD201812280130,1,0001
6923644281908,RD201812280132,2,0001
6901236355473,RD201812280133,1,0001
6971511850788,RD201812280138,1,0001
6950609403761,RD201812280139,1,0001
6950609403761,RD201812280145,2,0001
6971511850788,RD201812280146,2,0001
6971511850788,RD201812280151,1,0001
6957411101540,RD201812280156,1,0001
6971511850788,RD201812280160,2,0001
6950610212796,RD201812280178,143,0001
6950610212796,RD201812280182,3,0001
6950610211294,RD201812280183,8,0001
6901236355657,RD201812280187,119,0001
YJBOX000020,RD201812280189,79,0001
6950609403761,RD201812280191,4,0001
6950610212796,RD201812280193,7,0001
6901236355657,RD201812280199,411,0001
2018MYR188308001L,RD201812290003,2,0001
2018MYR188301001L,RD201812290003,13,0001
2018MYR188301001M,RD201812290003,1,0001
2018MYR188301001XXL,RD201812290003,1,0001
2018MYR188303001L,RD201812290003,1,0001
2018MYR188303001XXL,RD201812290003,15,0001
2018MYR188308001M,RD201812290003,2,0001
6970986858091,RD201812290004,1,0001
6970986858107,RD201812290004,2,0001
6970986858121,RD201812290004,2,0001
6942499700136,RD201812290005,40,0001
YJBOX000006,RD201812290007,60,0001
4260290262366,RD201812290014,3,0001
YJBOX000006,RD201812290015,18,0001
8809502181826,RD201812290017,63400,0001
8809502182236,RD201812290017,50,0001
8809502182236,RD201812290018,4,0001
8809502182236,RD201812290022,159,0001
6901236351864,RD201812290039,15,0001
6901236355473,RD201812290039,4,0001
6923644281564,RD201812290040,4,0001
6937702907167,RD201812290046,2,0001
6937702907228,RD201812290046,1,0001
6937702916336,RD201812290046,4,0001
8809560223612,RD201812290047,1,0001
OM18FA206JS10569929,RD201812290048,4,0001
OM18FA206JS10569934,RD201812290048,5,0001
6944192681675,RD201812290049,6,0001
6944192681682,RD201812290049,8,0001
6944192681880,RD201812290049,138,0001
6944192681897,RD201812290049,152,0001
8809560223612,RD201812290054,3,0001
6923644281908,RD201812290057,3,0001
YJBOX000008,RD201812290058,112,0001
YJBOX000023,RD201812290058,202,0001
6959721307254,RD201812290062,15,0001
8809560225005,RD201812290063,40,0001
6903148155462,RD201812290068,440,0001
6946811401824,RD201812290070,1,0001
6907992512761,RD201812290076,3,0001
6907992513089,RD201812290079,1,0001
SC10737152400847,RD201812290082,28200,0001
SC10737152400847,RD201812290088,12040,0001
6946922572765,RD201812290088,40,0001
6923644282028,RD201812290089,5,0001
6923644281908,RD201812290090,6,0001
SC10737152400847,RD201812290091,5120,0001
6920174743135,RD201812290094,12,0001
6920174752106,RD201812290094,1992,0001
6920174752137,RD201812290094,2,0001
6920174754803,RD201812290094,3984,0001
6920174764093,RD201812290094,2400,0001
6923644285265,RD201812290096,1,0001
6946811401992,RD201812290100,1,0001
YJBOX000012,RD201812290104,180,0001
6942542330303,RD201812290113,4,0001
6970313750142,RD201812290114,40,0001
6970313750142,RD201812290128,2,0001
6970313750869,RD201812290128,6,0001
6901236354940,RD201812290136,3,0001
6901236355657,RD201812290136,1,0001
6926041510985,RD201812290139,24,0001
YJBOX000005,RD201812290141,37,0001
YJBOX000012,RD201812290141,1,0001
YJBOX000013,RD201812290141,323,0001
6971086570760,FO201812280042,100,0001
6971086570036,FO201812280037,1,0001
6971877860834,RD201812290144,50,0001
6971877860841,RD201812290144,150,0001
YJBOX000031,RD201812290146,300,0001
YJBOX000004,RD201812290146,760,0001
6923644285265,RD201812290148,5,0001
6923644281564,RD201812290150,23,0001
6923644282028,RD201812290153,13,0001
6923644284947,RD201812290154,2,0001
6923309868963,RD201812290156,286,0001
6923309868956,RD201812290157,8,0001
3428726535274,RD201812290160,786,0001
6970910231082,RD201812290164,6,0001
6943136006314,RD201812290165,3,0001
6940971213037,RD201812290172,1,0001
6940971214973,RD201812290172,1,0001
6940971217301,RD201812290172,1,0001
6940971217622,RD201812290172,1,0001
89078936,RD201812290175,4,0001
89078938,RD201812290175,1,0001
6923644285265,RD201812300007,1,0001
6927854107881,RD201812300014,4551,0001
6927854107881,RD201812300015,4551,0001
16901382010261,RD201812300016,4,0001
YJBOX000007,RD201812300017,250,0001
YJBOX000024,RD201812300017,140,0001
6955150401655,RD201812300019,98,0001
6955150400320,RD201812300022,2,0001
6937564824985,RD201812300024,2,0001
6937564825005,RD201812300024,1,0001
6937564825029,RD201812300024,1,0001
YJBOX000008,RD201812300029,140,0001
6970692451807,RD201812300032,1,0001
6971135300645,RD201812300033,4,0001
6971135300645,RD201812300034,2,0001
6971135300645,RD201812300037,1,0001
6924033804876,RD201812300038,58,0001
PN2017081400001,RD201812310006,1000,0001
6923644282028,RD201812310007,3,0001
1820BSCZ351M01,RD201812310009,360,0001
1820BSCZ351M02,RD201812310009,3,0001
1820BSCZ351W02,RD201812310009,2,0001
1820BSCZ351W05,RD201812310009,2,0001
1820LFCZ352W02,RD201812310009,4,0001
6923644282028,RD201812310010,1,0001
6923644283179,RD201812310011,15,0001
6923644285074,RD201812310013,1,0001
6923644282028,RD201812310014,3,0001
6933817100189,RD201812310015,30,0001
6971385890217,RD201812310019,16,0001
6971383100028,RD201812310025,132,0001
6923644283179,RD201901010010,13,0001
PN201809200009,RD201901010015,40,0001
6955150400320,RD201901010019,1,0001
YJBOX000025,RD201901020003,126,0001
6920174756418,RD201901020004,12,0001
6971877860803,RD201901020006,180,0001
6971385890231,RD201901020030,228,0001
6901236351864,RD201901020038,6,0001
5391523051262,RD201901020041,1,0001
6932904709014,RD201901020041,1,0001
YJBOX000005,RD201901020047,110,0001
YJBOX000029,RD201901020047,1220,0001
6907376502760,RD201901020058,1,0001
1860092012,RD201901020065,1,0001
HYB018001001,RD201901020066,1,0001
HYB018001002,RD201901020066,2,0001
HYB018001201,RD201901020066,2,0001
HYB018001204,RD201901020066,1,0001
HYB0180013002,RD201901020066,1,0001
6920174752106,RD201901020081,12,0001
6923799800603,RD201901020086,649,0001
6971135300928,RD201901020088,3588,0001
6926999602411,RD201901020093,3,0001
6926999601971,RD201901020094,3,0001
6923799800603,RD201901020097,331,0001
8818012003,RD201901020099,1,0001
8818012401,RD201901020099,8,0001
8818012402,RD201901020099,6,0001
8818012802,RD201901020099,1,0001
6926999601971,RD201901020102,1366,0001
6970887890930,RD201901020112,217,0001
6920721711518,RD201901020122,1,0001
6920721717442,RD201901020122,6,0001
6920174754124,RD201901020123,1,0001
6970235950187,RD201901020127,3,0001
6970235950187,RD201901020128,8,0001
6970235950194,RD201901020128,2,0001
YJBOX000006,RD201901020134,142,0001
YJBOX000007,RD201901020134,1091,0001
YJBOX000030,RD201901020134,95,0001
YJBOX000035,RD201901020134,1360,0001
6959294000965,RD201901020140,1,0001
YJBOX000026,RD201901020144,1272,0001
YJBOX000004,RD201901020144,12,0001
YJBOX000006,RD201901020144,74,0001
YJBOX000007,RD201901020144,910,0001
YJBOX000008,RD201901020144,326,0001
YJBOX000009,RD201901020144,326,0001
YJBOX000010,RD201901020144,420,0001
YJBOX000014,RD201901020144,1480,0001
6901236341629,RD201901020146,1992,0001
6970735648669,RD201901020147,200,0001
6970735648669,RD201901020152,200,0001
6907992510347,RD201901020156,1,0001
6907992512181,RD201901020159,22,0001
6926041510985,RD201901020162,48,0001
6907992512181,RD201901020163,7,0001
6907992512181,RD201901020164,1,0001
6907992512181,RD201901020165,2,0001
6936145908298,RD201901020168,300,0001
8809485971025,RD201901020177,3,0001
6940971212610,RD201901020183,1,0001
6940971217622,RD201901020183,1,0001
6920174764093,RD201901020185,16,0001
6920174756777,RD201901020190,6,0001
6957798533644,RD201901020193,3,0001
6940971205759,RD201901020197,2,0001
6940971212610,RD201901020197,1,0001
5153031101,RD201901020201,3,0001
6901236352496,RD201901020202,15,0001
6901236387382,RD201901020202,282,0001
6901236387474,RD201901020202,522,0001
6901236387573,RD201901020202,570,0001
6901236354193,RD201901020203,8,0001
6901236357903,RD201901020203,16,0001
6940971205759,RD201901020205,1,0001
6940971212610,RD201901020205,1,0001
6940971205759,RD201901020206,1,0001
6940971212610,RD201901020206,1,0001
6923644283179,RD201901020207,1,0001
6970313751309,RD201901020210,13,0001
6921971900820,RD201901020215,1,0001
6921971900820,RD201901020216,1,0001
6923644283179,RD201901020217,15,0001
6971260280164,RD201901020219,1,0001
6901236353004,RD201901020228,4,0001
6901236353806,RD201901020228,120,0001
6901236354872,RD201901020228,13,0001
6901236356715,RD201901020228,3,0001
6901236357903,RD201901020228,67,0001
6901236387573,RD201901020228,6,0001
6901236352496,RD201901020229,5,0001
6901236354193,RD201901020229,33,0001
182JJF01919W02,RD201901020234,32,0001
YJBOX000005,RD201901030002,9,0001
YJBOX000012,RD201901030002,1500,0001
6901209214301,RD201901030005,3,0001
6970379941720,RD201901030007,78,0001
wy330003,RD201901030010,1,0001
6923644283179,RD201901030015,6,0001
8005150001015,RD201901030018,3024,0001
8005150001015,RD201901030019,2016,0001
6901209214301,RD201901030025,5,0001
6970269900066,RD201901030027,1,0001
6923644283179,RD201901030030,4,0001
16901382010261,RD201901030031,18,0001
6901209214301,RD201901030039,8,0001
6922216400921,RD201901030041,3,0001
6901209214301,RD201901030042,51,0001
3428726535274,RD201901030047,1050,0001
6955150400672,RD201901030053,1,0001
6900572042825,RD201901030054,4,0001
6900572061109,RD201901030054,60,0001
6900572062649,RD201901030054,32,0001
2018WYR18D705001L,RD201901030064,62,0001
2018WYR18D705001M,RD201901030064,72,0001
2018WYR18D705001S,RD201901030064,8,0001
2018WYR18D705016L,RD201901030064,15,0001
2018WYR18D705016M,RD201901030064,15,0001
2018WYR18D705016XL,RD201901030064,1,0001
2018WYR18D705035L,RD201901030064,15,0001
2018WYR18D705035S,RD201901030064,15,0001
2018WYR18F802004L,RD201901030064,1,0001
2018WYR18F802004M,RD201901030064,1,0001
2018WYR18F802004XL,RD201901030064,1,0001
2018MYR188310001XXL,RD201901030065,10,0001
2018MYR188310001XXXL,RD201901030065,1,0001
6910019014575,RD201901030082,8,0001
YJBOX000024,RD201901030087,1,0001
6971246191538,RD201901030090,4000,0001
6946018804572,RD201901030091,2,0001
6971246199190,RD201901030093,40,0001
6959415608094,RD201901030095,1,0001
6949195390197,RD201901030098,1,0001
6949195390203,RD201901030098,3,0001
6949195390234,RD201901030098,19,0001
6949195390258,RD201901030098,4,0001
6949195390289,RD201901030098,2400,0001
6949195390647,RD201901030098,26,0001
6949195390654,RD201901030098,1,0001
6949195390746,RD201901030098,3,0001
6940188802406,RD201901030099,12,0001
6971680011621,RD201901030105,1,0001
6923644281908,RD201901030106,19,0001
6923799800597,RD201901030108,30,0001
6906791522407,RD201901030112,48,0001
6906791522407,RD201901030113,9,0001
JLJ186010240,RD201901030114,1,0001
JLJ186010241,RD201901030114,2,0001
JLJ186040141,RD201901030114,1,0001
JLJ186040142,RD201901030114,4,0001
SY191800132,RD201901030114,3,0001
SY191800133,RD201901030114,1,0001
SY191800232,RD201901030114,1,0001
SY191800233,RD201901030114,1,0001
6938582342215,RD201901030117,100,0001
6938582342215,RD201901030118,50,0001
6938582342215,RD201901030119,30,0001
6962016014362,RD201901030123,15,0001
6970313751309,RD201901030124,1,0001
6970313751309,RD201901030126,11,0001
6923644283179,RD201901030131,9,0001
6954256900024,RD201901030132,850,0001
6954256901007,RD201901030132,2610,0001
6954256901243,RD201901030132,2331,0001
6954256902530,RD201901030132,3000,0001
6971135300553,RD201901030135,2160,0001
6971385890088,RD201901030137,4,0001
6971385890095,RD201901030137,3,0001
YJBOX000007,RD201901030140,7000,0001
YJBOX000011,RD201901030140,5000,0001
YJBOX000004,RD201901030141,1000,0001
6970414020076,RD201901040007,250,0001
5018479002044,RD201901040017,50,0001
6923644281564,RD201901040018,5,0001
6954256901212,RD201901040020,9,0001
6923644283179,RD201901040028,112,0001
6932904708420,RD201901040030,4,0001
5712449000033,RD201901040030,1,0001
6948423806691,RD201901040031,10,0001
6938888886468,RD201901040033,15,0001
6938888889056,RD201901040033,6,0001
6938888889070,RD201901040033,1,0001
6970269900066,RD201901040034,2,0001
6923644283179,RD201901040036,4,0001
8818012001,RD201901040037,20,0001
8818012003,RD201901040037,45,0001
8818012801,RD201901040037,17,0001
CS18HF615069642,RD201901040056,1,0001
CS18HF615174341,RD201901040056,3,0001
CS18HF615174342,RD201901040056,19,0001
CS18HF615176040,RD201901040056,40,0001
CS18HF615176043,RD201901040056,3,0001
CS18HF615176044,RD201901040056,1,0001
CS18HF615178344,RD201901040056,1,0001
6970183920003,RD201901040066,384,0001
6970183920003,RD201901040068,288,0001
6970269900066,RD201901040088,1,0001
6970887890749,RD201901040091,4,0001
6925959406137,RD201901040103,144,0001
6925959406137,RD201901040104,6,0001
6971385890217,RD201901040119,82,0001
6946018804572,RD201901040121,30,0001
6970313751309,RD201901040125,9,0001
6930331855335,RD201901040127,6,0001
6930331855342,RD201901040127,7,0001
6971246191002,FO201901030003,400,0001
6971246191002,FO201901030002,1,0001
6940893100378,RD201901040136,1,0001
6970269900066,RD201901040139,3,0001
YJBOX000036,RD201901040140,40,0001
6940477429079,RD201901040150,1,0001
6956741704629,RD201901040153,150,0001
6937436199616,RD201901040155,3,0001
6946922504162,RD201901040181,6,0001
YJBOX000011,RD201901040183,220,CK2018022362896
YJBOX000015,RD201901040183,780,CK2018022362896
YJBOX000037,RD201901040183,20,CK2018022362896
6946922504162,RD201901040188,1,0001
8809502180775,RD201901040192,7,0001
8809502180638,RD201901040194,3,0001
8809502180775,RD201901040194,11,0001
YJBOX000035,RD201901040199,20,0001
YJBOX000010,RD201901040199,5,0001
16926309211361,RD201901050003,20,0001
16926309211361,RD201901050004,6,0001
6970203840502,RD201901050005,39,0001
6970203840625,RD201901050005,439,0001
6970203840502,RD201901050006,4,0001
6970203840625,RD201901050006,10,0001
6971135300645,RD201901050008,61,0001
6971135300645,RD201901050009,1,0001
6971135300645,RD201901050012,8,0001
YJBOX000030,RD201901050015,168,0001
YJBOX000005,RD201901050015,80,0001
YJBOX000007,RD201901050015,25,0001
YJBOX000008,RD201901050015,15,0001
YJBOX000014,RD201901050015,130,0001
YJBOX000015,RD201901050015,476,0001
SC10737152400847,RD201901050020,1,0001
6949185421344,RD201901050021,9,0001
6970313751309,RD201901050022,4,0001
6946922572765,RD201901050025,283,0001
SC10737152400847,RD201901050025,1,0001
6923644281564,RD201901050026,1,0001
YJBOX000014,RD201901050034,8755,0001
6970986851474,RD201901050035,8,0001
6970986858107,RD201901050035,1,0001
YJBOX000008,RD201901050036,402,0001
YJBOX000012,RD201901050036,1291,0001
YJBOX000014,RD201901050036,840,0001
YJBOX000029,RD201901050036,384,0001
YJBOX000012,RD201901050037,392,0001
YJBOX000013,RD201901050037,2,0001
6917751431110,FO201901050003,1,0001
6937524425443,RD201901050040,93,0001
6907992440156,RD201901050041,6000,0001
6907992633473,RD201901050041,1980,0001
1061304,RD201901050042,6000,0001
6932003000401,RD201901050047,5,0001
6932003000401,RD201901050050,1,0001
PN201711290002,RD201901050057,1,0001
6944568204927,RD201901050058,33,0001
6949123362296,RD201901050070,1,0001
6949123362289,RD201901050073,1,0001
YJBOX000006,RD201901050077,2706,0001
16901382010261,RD201901060006,20,0001
8935024143384,RD201901060007,24,0001
6970887891036,RD201901060012,11,0001
6970887891043,RD201901060012,59,0001
YJBOX000013,RD201901060016,104,0001
YJBOX000014,RD201901060016,94,0001
YJBOX000024,RD201901060016,150,0001
YJBOX000005,RD201901060017,43,0001
YJBOX000008,RD201901060017,410,0001
YJBOX000010,RD201901060017,179,0001
6955150400672,RD201901060018,1,0001
6926702223216,RD201901060020,2,0001
6926702223308,RD201901060020,4,0001
6907992512761,RD201901060022,3,0001
6907992512761,RD201901060023,2,0001
6907992512761,RD201901060027,8,0001
6907992512761,RD201901060028,1,0001
6907992512761,RD201901060031,1,0001
6907992512761,RD201901060032,3,0001
6907992512761,RD201901060034,3,0001
6907992514604,RD201901060038,2,0001
6907992513829,RD201901060041,4,0001
6907992513829,RD201901060043,2,0001
6907992513829,RD201901060046,2,0001
6907992513829,RD201901060047,2,0001
6907992507385,RD201901060050,2,0001
6907992507385,RD201901060051,3,0001
6907992507385,RD201901060052,1,0001
6907992507385,RD201901060053,9,0001
6907992507385,RD201901060054,1514,0001
SC10737152400847,RD201901060056,1,0001
6970203840762,RD201901060058,1,0001
YJBOX000009,RD201901070015,134,0001
6945794420426,RD201901070016,20,0001
6945794441254,RD201901070016,14,0001
6945794448697,RD201901070016,20,0001
8005150001015,RD201901070017,3024,0001
8015194100254,RD201901070017,7,0001
8015194510411,RD201901070017,9,0001
YJBOX000004,RD201901070022,39,0001
YJBOX000043,RD201901070022,53,0001
6962016014621,RD201901070030,53,0001
C0712433000000,RD201901070032,1,0001
6971540940009,RD201901070033,9,0001
YJBOX000012,RD201901070036,2500,0001
6962016013198,RD201901070045,120,0001
8818012001,RD201901070049,1,0001
8818012002,RD201901070049,1,0001
YJ07,RD201901070061,400,0001
6925923780751,RD201901070066,2,0001
6925923780751,RD201901070068,2,0001
6923958200435,RD201901070072,2,0001
6923958200442,RD201901070072,39,0001
6923958200466,RD201901070072,5,0001
6923958200442,RD201901070073,1,0001
6923958200466,RD201901070073,1,0001
6923958200442,RD201901070077,1,0001
6923958200459,RD201901070077,3,0001
6920174754803,RD201901070081,1,0001
6920174743135,RD201901070082,4,0001
5060539050001,RD201901070085,13,0001
5060539051503,RD201901070085,12,0001
5060539051510,RD201901070085,24,0001
6920174754803,RD201901070086,1,0001
YJBOX000005,RD201901070089,40,0001
YJBOX000014,RD201901070089,2070,0001
9300639999005,RD201901070090,12,0001
CS18HF615273644,RD201901070094,1,0001
CS18HF615278738,RD201901070094,10,0001
CS18HF615278740,RD201901070094,3,0001
CS18HF615278741,RD201901070094,10,0001
CS18HF615278742,RD201901070094,20,0001
CS18HF615557044,RD201901070094,2,0001
CS18HF615558040,RD201901070094,19,0001
6907992512761,RD201901070095,2,0001
6907992512761,RD201901070098,3,0001
6907992512761,RD201901070099,1,0001
6907992512761,RD201901070101,250,0001
PN201808270009,RD201901070105,20,0001
6943757611232,RD201901070107,1,0001
6971430010300,RD201901070112,3,0001
701-0000-0391,RD201901070113,200,0001
6970269900066,RD201901070125,1,0001
6946922504162,RD201901080002,7,0001
6946922572765,RD201901080003,18680,0001
SC10737152400847,RD201901080003,1,0001
6922246100938,RD201901080006,2,0001
4260290262175,RD201901080013,48,0001
PN201811210009,RD201901080033,20,0001
6937702917913,RD201901080035,16,0001
6901209214301,RD201901080036,36,0001
6923644281564,RD201901080038,2,0001
YJBOX000004,RD201901080040,100,0001
YJBOX000006,RD201901080040,130,0001
YJBOX000008,RD201901080040,3349,0001
YJBOX000015,RD201901080045,340,0001
YJBOX000030,RD201901080045,220,0001
6901209214301,RD201901080054,7,0001
6901209214301,RD201901080055,2,0001
6970269900066,RD201901080056,1,0001
6954256901212,RD201901080057,95,0001
YJBOX000005,RD201901080059,5,0001
YJBOX000051,RD201901080059,409,0001
16926309211361,RD201901080073,9,0001
6957444900844,RD201901080078,1,0001
6970269900066,RD201901080086,5,0001
6971385890231,RD201901080095,4,0001
16926309211361,RD201901080099,2296,0001
6920948604860,RD201901080111,200,0001
6946922572765,RD201901080123,23,0001
6924743914735,RD201901080126,6,0001
9556771005412,RD201901080127,4,0001
9556771005412,RD201901080135,16,0001
6971430010300,RD201901080142,10,0001
6907992512761,RD201901080146,3,0001
6907992512761,RD201901080150,6,0001
6907992512761,RD201901080153,9,0001
4903301186403,RD201901080166,1,0001
4903301205623,RD201901080166,6,0001
4903301205647,RD201901080166,2,0001
49795301,RD201901080166,11,0001
49795318,RD201901080166,2,0001
test001-4,RD201901080175,1,0001
6970419170585,RD201901090004,1,0001
YJBOX000004,RD201901090009,55,0001
YJBOX000005,RD201901090009,13,0001
PN201812030004,RD201901090011,4020,0001
16926309211361,RD201901090016,9,0001
6901209214301,RD201901090020,49,0001
0ZLMB808AKC04,RD201901090021,5,0001
6970506720952,RD201901090031,2,0001
YJBOX000013,RD201901090034,200,0001
YJBOX000024,RD201901090034,70,0001
YJBOX000006,RD201901090036,165,0001
YJBOX000007,RD201901090036,20,0001
6970269900066,RD201901090043,1,0001
6944495400133,RD201901090050,2,0001
6971877860865,RD201901090054,480,0001
6971385890415,RD201901090056,3,0001
6971385890422,RD201901090056,10,0001
6953188007788,FO201901080005,1,0001
6945858204153,RD201901090057,144,0001
6945858204153,RD201901090058,768,0001
6945858204153,RD201901090059,720,0001
6945858201565,RD201901090060,6048,0001
6945858204153,RD201901090060,1008,0001
6945858204108,RD201901090061,48,0001
6945858204153,RD201901090061,624,0001
9556001185648,RD201901090063,2,0001
6945858204153,RD201901090067,672,0001
YJBOX000006,RD201901090068,1140,0001
6944750430332,FO201901070009,1,0001
6971540940009,RD201901090081,40,0001
6949195390210,RD201901090083,2800,0001
6949195390258,RD201901090083,1,0001
6949195390289,RD201901090083,4,0001
6949195390623,RD201901090083,1,0001
6907992634234,RD201901090088,84,0001
6907992634241,RD201901090088,180,0001
9421903892188,RD201901090088,36,0001
4713361320071,RD201901090095,1410,0001
6907992512761,RD201901090099,16,0001
6907992512761,RD201901090100,1,0001
6970506720952,RD201901090109,29,0001
6925923780751,RD201901090110,4,0001
6907992513300,RD201901090115,1,0001
6951439941805,RD201901090116,2,0001
6951439948125,RD201901090116,15,0001
6951439950883,RD201901090116,1,0001
6944750430332,FO201901090012,24,0001
6970269900066,RD201901090118,1,0001
6970269902091,RD201901090120,2,0001
6944750430332,FO201901070004,1,0001
2018MYR188332001XXL,RD201901090134,4,0001
2018MYR188332003XL,RD201901090134,12,0001
2018MYR188332003XXL,RD201901090134,4,0001
2018MYR188332003XXXL,RD201901090134,15,0001
6971246191507,FO201901080028,600,0001
6922731800121,RD201901090136,16,0001
YJBOX000003,RD201901100002,20,0001
6957411103605,RD201901100003,2000,0001
8005150001015,RD201901100007,5,0001
6920174754124,RD201901100011,2,0001
6937524425245,RD201901100016,8,0001
6937524425252,RD201901100016,12,0001
YJBOX000007,RD201901100028,16,0001
YJBOX000012,RD201901100028,120,0001
YJQZD001,RD201901100034,14,0001
YJBOX000010,RD201901100037,46,0001
YJBOX000014,RD201901100037,5000,0001
16901798195897,RD201901100039,603,0001
2018MYR188107001M,RD201901100042,6,0001
2018MYR188107001XL,RD201901100042,1,0001
2018MYR188107029M,RD201901100042,11,0001
2018MYR188107029XXL,RD201901100042,1,0001
2018MYR188107029XXXL,RD201901100042,2,0001
2018MYR188325001XXL,RD201901100042,31,0001
2018MYR188325001XXXL,RD201901100042,1,0001
2018MYR188320001L,RD201901100043,59,0001
2018MYR188320001XL,RD201901100043,37,0001
6946537057589,RD201901100045,30,0001
YJ01,RD201901100047,6000,0001
YJ02,RD201901100047,4000,0001
YJBOX000012,RD201901100049,4970,0001
6955561611209,FO201901090017,2,0001
6920174752137,RD201901100081,12,0001
YJBOX000010,RD201901100085,53,0001
16926309211392,RD201901100095,6,0001
16926309211361,RD201901100097,93,0001
8410419101762,RD201901100098,234,0001
6971246192016,FO201901090008,970,0001
PN201812030005,RD201901100100,306,0001
6932599242537,RD201901100100,612,0001
6932599244449,RD201901100100,6,0001
6932599244890,RD201901100100,3,0001
YJBOX000008,RD201901100103,5000,0001
YJBOX000010,RD201901100103,10000,0001
6940971212610,RD201901100117,1,0001
6940971213037,RD201901100117,1,0001
6940971213969,RD201901100117,1,0001
6940971214973,RD201901100117,1,0001
6940971213969,RD201901100118,1,0001
6940971205759,RD201901100119,1,0001
6940971212610,RD201901100119,1,0001
6940971213969,RD201901100119,1,0001
6971511850788,FO201901080023,1,0001
6907992512761,RD201901110002,8,0001
6907992512761,RD201901110004,8,0001
6907992512761,RD201901110005,1,0001
6907992512761,RD201901110006,2,0001
6907992512761,RD201901110007,15,0001
6943524512588,RD201901110011,2,0001
YJBOX000012,RD201901110017,20,0001
6927854156810,RD201901110018,1,0001
6920174764086,RD201901110019,1,0001
6970269902091,RD201901110020,1,0001
YJBOX000008,RD201901110021,180,0001
YJBOX000009,RD201901110022,2340,0001
YJBOX000012,RD201901110022,330,0001
YJBOX000014,RD201901110022,640,0001
9300639999005,RD201901110026,10,0001
9300639999005,RD201901110027,2,0001
9300639999005,RD201901110030,2,0001
6970269902091,RD201901110036,5,0001
